Context ID,Question Number,Sub-Question Number,Question Text,Question Type,Option A,Option B,Option C,Option D,Option E,Correct Answer,Explanation,Points,Difficulty,Concepts,Attachment
,19,,"Let X be a random variable denoting the number of children in a family. X has support {1,2,3,4}, and pmf given by 
p(1)	p(2)	p(3)	p(4)
0.1	0.25	0.35	0.3
A child from this family is chosen at random (i.e. all children within a family are equally likely to be selected). Let E be the event that the eldest child is chosen. Find P(X=1 | E).",MCQ,0.42,0.1,0.24,,,C,,1,High,"Conditional Probability, Random Variables, Conditional Probability (Baye's Rule)",
,20,,"An urn has n white and m black balls. Balls are randomly withdrawn without replacement, one at a time, until a total of k white balls have been withdrawn, where k <= n. The random variable X is the total number of balls that have been withdrawn. Which of the following events is equivalent to {X = r}, where r is an integer in the support of X?",MCQ,"There are k - 1 white balls in the first r-1 draws, and the r-th draw is a white ball.",There are r balls drawn.,There are k white balls in the first r draws.,,,A,,1,Med,"Random Variables, Conditional Probability, Negative Binomial ",
,21,,"Let E, F and G be three events from a sample space. Match the following descriptions to the events regarding E, F and G below. There is only one matching description for each event.

1. E occurs.
2. At least two of the events occur.
3. Exactly two events occur.
4. The empty set occurs.
5. None of the three events occur.
6. Only E occurs.

1. (E U F U G)c
2. EF U EG U FG",SRQ,,,,,,"1. 5
2. 2",,1,Low,"Set Operations and Events, Probability Axioms",
,22,,"Let E, F and G be three events from a sample space. Match the following descriptions to the events regarding E, F and G below. There is only one matching description for each event.
1. E occurs.
2. At least two of the events occur.
3. Exactly two events occur.
4. Exactly one of the events occurs.
5. Only E occurs.
6. At least one of the events occurs.

1. E U F U G
2. E Fc Gc",SRQ,,,,, ,"1. 6
2. 5",,1,Low,"Set Operations and Events, Probability Axioms",
,23,,"A fair coin is tossed independently n times, where n >= 2. Define the following events:
Ak: the k-th toss is heads.
Sn: the total number of heads observed in the n tosses is even. (Note that 0 is an even number).
Is the collection of events A1, A2, A3, ... An, Sn independent?
Hint: Consider P(Sn | A1 A2 A3 ... An)",T/F,True,False,,,,B,,1,Low,"Event independence,  Conditional Probability ",
,24,,"Suppose that A and B are independent events such that the probability that neither occurs is a, and the probability that B occurs is b. Find P(A).",MCQ,a/(1-b),(1-b-a)/(1-b),ab,,,B,,1,Med,"Probability Rules (De Morgan's & Independence), Conditional Probability",
,25,,"A fair coin is tossed independently n times, where n >= 2. Define the following events:
Ak: the k-th toss is heads.
What is P(A1 A2 A3 A4 ... An)?",MCQ,1/2,(1/2)^n,k! / n!,,,B,,1,Low,"Event independence,  Conditional Probability ",
,29,,"Suppose that A and B are mutually exclusive, and P(A) >0 and P(B) >0. Which of the following statements is false?",MCQ,P(A|B)=0,A and B are independent.,A and B are dependent.,,,B,,1,Low,"Mutually Exclusive, Conditional Probability",
,30,,"Suppose that A and B are events with positive probability. Determine if the following statement is true or false:
If A and B are not mutually exclusive, then they are independent.",T/F,True,False,,,,B,,1,Low,"Mutually Exclusive, Event Independence, Conditional Probability",
,31,,"Suppose that A and B form a partition of the sample space, and P(A) >0 and P(B) >0. Which of the following statements is false?",MCQ,P(A | Bc) = 1,A and B are independent.,A and B are dependent.,,,B,,1,Low,Probability Axioms,
,32,,"A mobile phone manufacturing company has two factories X and Y. Factories X and Y produce 30% and 70% of all mobile phones respectively. 9% of the phones produced by factory X are defective, and 1% of the phones produced by factory Y are defective. If a phone bought from the company is found to be defective, what is the probability that it was produced by factory X?",MCQ,0.79,0.027,0.3,,,A,,1,Med,"Bayes' Theorem, Conditional Probability",
,35,,"A and B are mutually exclusive events. Further, P(A) = 0.3 and P(B) = 0.2. What is the probability that both events occur?",MCQ,There is insufficient information to compute this probability.,0.06,0,,,C,,1,Low,"Mutually Exclusive, Conditional Probability",
,36,,"How many ways can we arrange the letters in the word ""VISITING"" such that no two ""I""s are adjacent?   
Hint: 
Experiment 1: Permute the non-I letters.
Experiment 2: Choose where to put the I's.",MCQ,6720,2400,480,,,B,,1,Med,"Permutations with Constraints, Combinatorics",
,37,,"How many ways can we arrange the letters in the word ""VISITING""?",MCQ,6720,2400,480,,,A,,1,Low,"Permutations with Identical Items, Combinatorics",
,38,,"Independent trials are performed indefintely, where each trial consists of rolling a pair of fair six-sided dice, and then summing the values on the dice at each trial.
Thus, if we observe (1,2), (3,4) and (6,6) in the first three trials, then the outcomes of the first three trials are recorded as 3, 7 and then 12.
We define En to be the event that no 5 or 7 appears on the first n-1 trials and a 5 appears on the n-th trial. Is En an increasing or decreasing sequence?",MCQ,An increasing sequence.,A decreasing sequence.,It is neither increasing or decreasing.,,,C,,1,Med,"Sequence of Events, Probability Axioms",
,41,,"There are n socks in a drawer, 3 of which are red. What is the value of n if, when 2 of the socks are chosen randomly, the probability that they are both red is 1/2?",MCQ,n=4,n=6,n=5,,,A,,1,Med,"Combinatorics, Probability Axioms",
,42,,"Suppose that the random variable X has support {1, 2, 3, 4, 5, .... }. For i in this set, the pmf is given by 
P(X = i) = 1/i - 1/(i+1)
If we let Y = 2 - X, what is the pmf of Y evaluated at -5? In other words, what is P(Y = -5)?",MCQ,1/56,1/20,-1/5,,,A,,1,Low,"PMF of a Transformed Random Variable, Random Variables",
,43,,"Suppose that the random variable X has support {1, 2, 3, 4, 5, .... }. For i in this set, the pmf is given by 
P(X = i) = 1/i - 1/(i+1)
If we let Y = 1 if X <= 2 and 0 otherwise, what is P(Y = 0)?",MCQ,True,1/2,1/3,,,C,,1,Low,"CDF, Random Variables",
,44,,"There are 4 TV repairmen and 8 TV repair jobs. If it is possible for a single repairman to do multiple jobs, how many possible assignments of repairmen to jobs are there?",MCQ,8^4,4^8,8C4,,,B,,1,Low,Combinatorics,
,45,,"If P(A) = 1/4 and P(B) = 1/3, then 
P(AB) is less than or equals to 7/12
True or False?",T/F,True,False,,,,A,,1,Low,Probability Axioms,
,46,,If P(A)=1/3 and P(Bc)=1/4 then it is still possible for A and B to be disjoint.,T/F,True,False,,,,B,,1,Low,Probability Axioms,
,47,,"A company has two factories X and Y. Factories X and Y produce 40% and 60% of all watches respectively. 2% of the watches produced by factory X are defective, and 3% of the watches produced by factory Y are defective. If a watch bought from the company is found to be defective, what is the probability that it was produced by factory Y?",MCQ,0.69,0.018,0.026,,,A,,1,Med,"Bayes' Theorem, Conditional Probability",
,48,,"An urn has n white and m black balls. Balls are randomly withdrawn without replacement, one at a time, until a total of k white balls have been withdrawn, where k <= n. The random variable X is the total number of balls that have been withdrawn. What is the support of X?",MCQ,"{1, 2, 3, ... , n+m}","{k, k+1, ... , n+m}","{1, 2, 3, ..., k}",,,B,,1,Med,Random Variables,
