Context ID,Question Number,Sub-Question Number,Question Text,Question Type,Option A,Option B,Option C,Option D,Option E,Correct Answer,Explanation,Points,Difficulty,Concepts,Attachment
,14,,"Using the student-mat.csv dataset from our lectures, create a contingency table from the variables address and guardian. Store it as address_guardian.
Write R code that will:
1.	Compute the proportion of students whose home address was rural, and whose guardian was their mother.
2.	Estimate the probability of students whose home address was rural, and whose guardian was their mother, under the null hypothesis of the chi2-test of independence.",Code,,,,,,,,4,Med,"Data Manipulation, Basic Concepts in Statistics, Conditional Probability",
,15,,"What is the length of the resulting output in this R code?
vec1 <- c('a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'i', 'j') 
result <- vec1[2:8][-2] 
length(result)",MCQ,3,2,4,6,,D,,1,Low,Data Manipulation,
,16,,"This question is to be answered using R.
Suppose that daily demand for newspaper is approximately gamma distributed, with mean 10,000 and variance 1,000,000. At present, the newspaper company prints and distributes C=11,000 copies each day. The profit on each newspaper sold is $1, and the loss on each unsold newspaper is $0.25. Formally, the daily profit function h is
h(X)={11000if X≥11000⌊X⌋+(11000−⌊X⌋)(−0.25)if X<11000
where X represents the daily demand. Use simulation to estimate the expected profit per day, for various values of C. Thus recommend the optimal value of C to the company.
Ensure that when you make your case, you include confidence intervals, and that you include a visualisation of your results to assist the company in understanding your recommendation. For this question, set your seed to be 2002.

You will be awarded more marks for
• planning your code well,
• for using functions such as apply instead of for loops.
• for a clean and clear plot,
• and for a clear explanation of your results.",Code,,,,,,,,6,Med,"Simulation Modeling, Optimization, Data Manipulation, Inference",
,18,,"After working with R, Python and SAS with one semester, you must have realised some of the strengths/limitations of these software. For each of the three software, list one advantage that you feel it has over the other two. There is no “right” or “wrong” answer, but your response should be a sincere one, and should be backed up with examples from our course material.",SRQ,,,,,,,,3,Med,Data Manipulation,
,20,,"A sequence is generated using the following recursive relation:
xn=2xn−1−xn−2,n≥3
 where x1=0 and x2=1.
 
Write R code to find x30 and ∑i=130xi.",Code,,,,,,,,3,Low,"Data Manipulation, Programming Logic",
,22,,"A clinical trial is conducted to compare the efficacy of drug A and drug B on lowering blood pressure. Participants are randomly divided into two groups. One group is given drug A and the other drug B. The average reduction in blood pressure after taking the drug is measured and compared between the two groups.
Assuming the distributional assumptions hold, the paired-sample t-test is appropriate in the above scenario (instead of the independent-sample t-test).",T/F,True,False,,,,B,,1,Low,"Inferential Statistics, T-tests",
,23,,Which of the following techniques cannot be used to assess the Normality of a given dataset?,MCQ,Kolmogorov-Smirnov test,Shapiro-Wilk test,Skewness,1-sample t-test,,D,,1,Low,"Model Validation, EDA, Basic Concepts in Statistics",
,24,,"In the One-Way ANOVA, we assume the following model:
Yij=μ+αi+eij,i=1,…,k,j=1,…,ni
The use of contr.sum( ) in R corresponds to the following constraint when performing estimation:
•	Setting α1=0.",T/F,True,False,,,,B,,1,Med,"Inferential Statistics, ANOVA, Linear Modeling",
,27,,"When assessing robustness of an estimator, one of the properties we consider is the breakdown point.
For a particular parameter of interest, an estimator with a large breakdown point is considered to be better than an estimator with a smaller breakdown point.",T/F,True,False,,,,A,,1,Med,"Basic Concepts in Statistics, Robustness",
,28,,"Consider the following SAS program:
DATA ex_1; 
INPUT subject gender $ CA1 CA2 HW $; 
DATALINES; 
10 m 80 84 a ; 
7 m 85 89 a 
;
When the code above was run, there was no output. Which one of the following two steps will fix the error?",MCQ,Removing the semi-colon on line 4.,Moving the semi-colon on line 6 to the end of line 5.,,,,A,,1,Med,"Data Manipulation, Programming Logic",
,29,,Simulation can be used to estimate expected values of the form E[g(X)]=∑x=0∞g(x)p(x). The reason we can assume Normality when computing Confidence Intervals is that it is up to us to choose the number of observations to generate.,T/F,True,False,,,,A,,1,Med,"Simulation Modeling, Inference, Basic Concepts in Statistics",
,30,,"Suppose that X∼N(μ=0,σ2=4). Which of the following R commands will return P(X>2) ?",MCQ,"pnorm(2, mean = 0, sd = 2, lower.tail = FALSE)","pnorm(2, mean = 0, var = 4, lower.tail = FALSE)","1 - qnorm(2, mean = 0, sd = 2)","1 - qnorm(2, mean = 0, var = 4)",,A,,1,Low,"Basic Concepts in Statistics, Data Manipulation",
